y,flood_var,flood_coefficient,flood_p_value,waste_var,waste_coefficient,waste_p_value,population_var,population_coefficient,population_p_value,r2,adjr2,nobs,aic,bic
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,172.94704288809118,0.5109394845055097,4_waste_count,32.79195972432647,0.2965413519528419,3_fb_baseline_median,3.0135916821406665,0.0002034454095065337,0.49440054989557936,0.48823470294308646,250,5022.633808019515,5036.7196516909635
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_mean,839.4775988691985,0.4086622507990758,4_waste_count,33.035314786682335,0.2929333519932217,3_fb_baseline_median,3.0161090978599607,0.00020679304784245923,0.49420727199960734,0.4880390679996025,250,5022.729358441255,5036.815202112703
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_max,130.27999802221657,0.42177825868008734,4_waste_per_svi_count,158.89346882909032,0.27020077190441427,3_fb_baseline_median,3.048259189158077,2.9112091952256117e-05,0.4936682946355546,0.4867637713805849,224,4522.8943244207385,4536.540908628159
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,182.34333287036716,0.5807983915639303,4_waste_per_svi_count,158.56614869417186,0.272549969735547,3_fb_baseline_median,3.0646914561578895,2.1914421822595497e-05,0.4929465801137095,0.4860322152970783,224,4523.213381956117,4536.859966163537
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_mean,815.3617826109112,0.551670988973068,4_waste_per_svi_count,159.24651894846085,0.27098082493149955,3_fb_baseline_median,3.069639205964661,2.1402575783556555e-05,0.492699331752255,0.48578159536705845,224,4523.3225817606235,4536.969165968044
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_max,91.81312610998079,0.3948862176500475,4_waste_count,31.71946477516721,0.21428882224237922,3_fb_baseline_median,2.4477526793243016,0.00014084257852736435,0.49189998797364876,0.48570364636357133,250,4937.817189649253,4951.903033320702
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,158.38944513873693,0.5290957814190631,4_waste_count,31.59681373395784,0.21551376474843864,3_fb_baseline_median,2.4584086734457475,0.0001156171923026924,0.4913270905396947,0.48512376237554466,250,4938.098913071698,4952.184756743147
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_mean,760.7415136157604,0.42750276255495745,4_waste_count,31.821264742137004,0.2130386425118549,3_fb_baseline_median,2.4606320839397737,0.00011640623786602402,0.4910883391603219,0.4848820993939844,250,4938.216225868453,4952.302069539902
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_max,122.65343576863705,0.43245799807309393,4_waste_per_svi_count,139.93355062557572,0.204757141115937,3_fb_baseline_median,2.5216104068678717,1.6636042490111803e-05,0.4877125751162774,0.4807268375042266,224,4448.220963931435,4461.867548138855
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,180.54581763615062,0.5723638022630541,4_waste_per_svi_count,139.56212075594027,0.20637199671366213,3_fb_baseline_median,2.537057065146929,1.1277944693300583e-05,0.48687969417526544,0.4798825990958372,224,4448.584849176743,4462.231433384163
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_mean,809.2951529555928,0.537966690825072,4_waste_per_svi_count,140.2342868632575,0.20537096608643424,3_fb_baseline_median,2.5419668263661555,1.0590848813858753e-05,0.48653932682262424,0.4795375903702055,224,4448.733385515025,4462.379969722445
3_estimated_excess_displacement_pop,4_flood_p95,-408.1340155846141,0.2032104525038676,4_waste_per_svi_count,322.4552129562431,0.004322594392479791,3_fb_baseline_median,2.183222967291055,3.3733075234047e-05,0.48167795877064856,0.4746099309357028,224,4505.21311697133,4518.859701178751
3_estimated_excess_displacement_pop,4_flood_mean,-1334.7962888854458,0.32382254623062046,4_waste_per_svi_count,320.560021791535,0.004294038575286818,3_fb_baseline_median,2.1748309149188145,3.607075847937446e-05,0.4795754219192149,0.4724787231272042,224,4506.119919244678,4519.766503452099
3_estimated_excess_displacement_pop,4_flood_max,36.34867290372674,0.7858088856910264,4_waste_per_svi_count,319.2748792633148,0.00431255478673168,3_fb_baseline_median,2.1774144831498257,5.1326609042235606e-05,0.47884326146114464,0.47173657866288754,224,4506.434832669109,4520.081416876529
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_max,134.61240764510592,0.4470297445608885,4_waste_per_population,-263.2057777059674,0.7465331872273981,3_fb_baseline_median,3.4842346105173325,7.236443628415833e-07,0.4770272830017349,0.46989583686084946,224,4530.137879092584,4543.784463300004
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,276.63557656315743,0.43177229245572457,4_waste_per_population,-297.60528811306585,0.712104646323515,3_fb_baseline_median,3.500266765550366,6.207392594910282e-07,0.47690111225267395,0.4697679456015741,224,4530.19191410854,4543.83849831596
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_mean,1531.4202149232374,0.35250126494703493,4_waste_per_population,-313.6462926039866,0.6930659646183162,3_fb_baseline_median,3.5124006989189818,5.681167798207617e-07,0.4766500374424065,0.46951344704389386,224,4530.29940289514,4543.94598710256
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_max,126.94905955911746,0.45577011870254514,4_waste_per_population,-214.7939968009125,0.7406239028358806,3_fb_baseline_median,2.904572092266098,3.183432353507009e-07,0.4692037756391091,0.4619656453069151,224,4456.171249227023,4469.817833434443
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,261.44322677454704,0.44892156302650643,4_waste_per_population,-247.2830780590024,0.7004010620014263,3_fb_baseline_median,2.9196821197326766,2.4242066869126503e-07,0.469051798523609,0.4618115957762037,224,4456.2353755332715,4469.881959740692
