y,flood_var,flood_coefficient,flood_p_value,r2,adjr2,nobs,aic,bic
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_mean,-795.9694216712038,0.593274032846177,0.00036667206266505215,-0.0036641074854695255,250,5189.044754133691,5196.087675969416
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_mean,-587.8851120964958,0.6741169803209102,0.00028219814021557266,-0.00374892202857402,250,5103.01587433615,5110.058796171875
1_outflow_accumulated_hour0,4_flood_mean,-51.880086071291004,0.4297292659747537,0.0002812494076704919,-0.0037498745866535454,250,3890.0597506324857,3897.10267246821
3_pct_outflow_fb_from_2_outflow_max,4_flood_mean,-1.522310577074359,0.7864793743660884,0.0004429880624909899,-0.0037745520722662906,239,1871.7059954944716,1878.6589225983346
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,0.20348647878689097,0.735321024391361,0.0003832880565463048,-0.0038345039769702716,239,1831.3581527759961,1838.311079879859
3_estimated_outflow_pop_from_2_outflow_max,4_flood_mean,-529.9861798839911,0.8607887400217652,9.504131863524723e-05,-0.003936833514757376,250,5323.296796778895,5330.33971861462
2_displaced_excess_max,4_flood_p95,-3.111322375888687,0.8112571677463658,5.559793805109958e-05,-0.0039764359412310935,250,3775.401043463662,3782.4439652993865
2_outflow_max,4_flood_p95,3.372216139177771,0.8407959188700356,4.9750502294609866e-05,-0.003982306955357506,250,3843.4450438195263,3850.4879656552507
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_mean,0.4738646761315739,0.8921618503131293,6.551295270329494e-05,-0.003999261384887376,248,1892.6043792150358,1899.6312367073658
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_mean,-0.40264836372757684,0.8876584694406764,6.335019800340902e-05,-0.004001432931272975,248,1820.152592501574,1827.179449993904
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_max,0.028481521514424915,0.9119655402787413,4.410094694973221e-05,-0.004020760431314718,248,1892.6096896835138,1899.6365471758438
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,-0.03928023016355116,0.9433012480348342,1.5630554257350937e-05,-0.004049346557310818,248,1892.6167505517801,1899.6436080441101
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_max,0.0475660880659217,0.8556804659275411,0.00012074078099799657,-0.004098159046930228,239,1762.199628851081,1769.1525559549439
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,-0.07724924331553149,0.871306057578878,7.379498363679904e-05,-0.004145302927824668,239,1762.2108499881083,1769.1637770919713
1_outflow_max_hour0,4_flood_mean,-16.163014182396466,0.8435192690821467,2.6085075418569303e-05,-0.004438084187637692,226,3475.7171382409797,3482.5582082395244
