y,flood_var,flood_coefficient,flood_p_value,population_var,population_coefficient,population_p_value,r2,adjr2,nobs,aic,bic
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_max,101.81287827749281,0.37114393113176336,3_fb_baseline_median,2.8925334398009372,1.2422878659594293e-07,0.47423152585676365,0.46997429124831636,250,4944.362852234931,4954.927234988518
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,204.53798034281473,0.4372536202182744,3_fb_baseline_median,2.9024874337410123,1.0335121494112737e-07,0.4738403058425281,0.46957990346068623,250,4944.548806012033,4955.11318876562
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_mean,895.2935999501934,0.3760722033359075,3_fb_baseline_median,2.908785434923393,9.960264560496129e-08,0.4733056932961027,0.46904096206773105,250,4944.802693346809,4955.367076100396
3_estimated_excess_displacement_pop,4_flood_p95,-240.27261029494719,0.38863412199715885,3_fb_baseline_median,3.0489991062176136,7.397966469289945e-07,0.4082446274783492,0.40345308600044105,250,5036.076514491786,5046.640897245373
3_estimated_excess_displacement_pop,4_flood_mean,-667.613781918629,0.5306595778903151,3_fb_baseline_median,3.0444503952268995,8.107177397323682e-07,0.4072503543031669,0.40245076203031804,250,5036.496214448059,5047.060597201646
3_estimated_excess_displacement_pop,4_flood_max,39.549904348444315,0.7068701823325039,3_fb_baseline_median,3.045670430210052,8.700745014411753e-07,0.40715329067872474,0.402352912465597,250,5036.537148963523,5047.1015317171095
3_estimated_outflow_pop_from_2_outflow_max,4_flood_max,344.23896138359675,0.285587654834897,3_fb_baseline_median,3.840221850266688,6.450589083332021e-06,0.3562536050857992,0.35104108366948983,250,5215.207951449444,5225.772334203031
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,305.5024095015146,0.6377426171904809,3_fb_baseline_median,3.873227601713629,4.996887985230803e-06,0.34987593245061144,0.34461176996033294,250,5217.6725429493545,5228.236925702941
3_estimated_outflow_pop_from_2_outflow_max,4_flood_mean,1450.1817476679037,0.5732651310774888,3_fb_baseline_median,3.883472422832353,5.379910607625634e-06,0.34948782437803083,0.3442205193122658,250,5217.8217422685875,5228.386125022174
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_mean,2.260443256954727,0.5141993952631907,3_fb_baseline_median,0.0033698752541546284,2.128444649986153e-09,0.226790826414362,0.22047891479325465,248,1830.8336214747042,1841.373907713199
