y,flood,waste,population,nobs,r2,adjr2,aic,bic
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count,3_worldpop_safe,248,0.5790075950625941,0.5738314589363145,4853.473846522559,4867.527561507219
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count,3_worldpop,250,0.5767168959704334,0.5715549068969021,4978.207927175526,4992.293770846974
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count,3_worldpop_safe,248,0.5763036719131971,0.5710942908301626,4940.438162091684,4954.491877076343
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_quadkey_area,3_worldpop,224,0.5731660353694085,0.5673455722153549,4407.343036321872,4420.989620529293
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_quadkey_area,3_worldpop_safe,224,0.5731660353694085,0.5673455722153549,4407.343036321872,4420.989620529293
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count_final,3_worldpop,224,0.5731637828357887,0.5673432889653677,4407.344218435389,4420.990802642809
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count_final,3_worldpop_safe,224,0.5731637828357887,0.5673432889653677,4407.344218435389,4420.990802642809
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_quadkey_area,3_worldpop,224,0.5707552136007642,0.564901875604411,4485.897443975582,4499.544028183002
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_quadkey_area,3_worldpop_safe,224,0.5707552136007642,0.564901875604411,4485.897443975582,4499.544028183002
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count_final,3_worldpop,224,0.5707525723008422,0.5648991982867628,4485.898822325141,4499.545406532561
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count_final,3_worldpop_safe,224,0.5707525723008422,0.5648991982867628,4485.898822325141,4499.545406532561
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_count,3_fb_baseline_median,250,0.5674603604569572,0.5621854868039933,5117.800232065893,5131.886075737342
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_count,3_fb_baseline_safe,239,0.5635468443497447,0.5579751019371882,4903.672067970177,4917.577922177903
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_count_final,3_fb_baseline_median,224,0.5578560028219852,0.5518267664968304,4610.705507799343,4624.352092006763
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_median,224,0.5578499095072433,0.551820590091433,4610.708594787079,4624.3551789944995
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_count_final,3_fb_baseline_safe,218,0.5551288841749128,0.5488923732054023,4493.308417607128,4506.846397858284
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_safe,218,0.5551227530518239,0.5488861561319897,4493.311422018014,4506.84940226917
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_population,3_worldpop,224,0.5522345932440452,0.5461287013337368,4418.0668915361375,4431.713475743558
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_population,3_worldpop_safe,224,0.5522345932440452,0.5461287013337368,4418.0668915361375,4431.713475743558
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_population,3_worldpop,224,0.546420245230769,0.5402350667566431,4498.2496473822275,4511.896231589648
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_population,3_worldpop_safe,224,0.546420245230769,0.5402350667566431,4498.2496473822275,4511.896231589648
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_count,3_worldpop,250,0.5444716146367656,0.5389163904250189,4972.667690566667,4986.753534238116
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_count,3_worldpop_safe,248,0.5438871810422057,0.538279236546823,4934.902918187602,4948.956633172262
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_count_final,3_worldpop,224,0.5362373037920936,0.5299132670256221,4480.298994846984,4493.945579054404
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_count_final,3_worldpop_safe,224,0.5362373037920936,0.5299132670256221,4480.298994846984,4493.945579054404
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_per_quadkey_area,3_worldpop,224,0.5362321183071115,0.5299080108294811,4480.301499451497,4493.948083658917
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_per_quadkey_area,3_worldpop_safe,224,0.5362321183071115,0.5299080108294811,4480.301499451497,4493.948083658917
