y,flood_var,flood_coefficient,flood_p_value,waste_var,waste_coefficient,waste_p_value,population_var,population_coefficient,population_p_value,r2,adjr2,nobs,aic,bic
1_outflow_max_hour0,4_flood_p95,16.48126577067286,0.12621912412535527,4_waste_count,-7.3259622585990325,0.000614054841909178,3_fb_baseline_median,0.3724730085266278,3.0860814385064065e-06,0.8328429952743959,0.8305841168321579,226,3075.449315746436,3089.131455743525
1_outflow_max_hour0,4_flood_p95,16.48126577067286,0.12621912412535527,4_waste_count,-7.3259622585990325,0.000614054841909178,3_fb_baseline_safe,0.3724730085266278,3.0860814385064065e-06,0.8328429952743959,0.8305841168321579,226,3075.449315746436,3089.131455743525
1_outflow_accumulated_hour0,4_flood_p95,17.06132168826137,0.17794315397485883,4_waste_per_svi_count,-32.454020119702214,0.00024907655911265,3_fb_baseline_safe,0.40139470149632506,7.328374619189611e-07,0.8292939752411629,0.8269009001277212,218,3038.8200684531853,3052.358048704342
1_outflow_accumulated_hour0,4_flood_p95,16.64179149277974,0.18483218920254385,4_waste_per_svi_count,-32.55914771645262,0.00025794525500980357,3_fb_baseline_median,0.40052013092899885,7.383528247530548e-07,0.8289560454424351,0.8266236278802864,224,3117.143766673414,3130.7903508808345
1_outflow_max_hour0,4_flood_p95,11.270639217552286,0.3613110729404796,4_waste_per_svi_count,-28.352397786447856,0.0005749297709168774,3_fb_baseline_median,0.34755361587026984,5.363298811605018e-06,0.8139836733890421,0.8112346636361708,207,2856.433386622096,2869.7642617951574
1_outflow_max_hour0,4_flood_p95,11.270639217552286,0.3613110729404796,4_waste_per_svi_count,-28.352397786447856,0.0005749297709168774,3_fb_baseline_safe,0.34755361587026984,5.363298811605018e-06,0.8139836733890421,0.8112346636361708,207,2856.433386622096,2869.7642617951574
2_outflow_max,4_flood_p95,11.127237192972876,0.3170012076481311,4_waste_count,-4.63732760157774,0.050697261632554336,3_fb_baseline_median,0.3601289356437732,3.3382015156820934e-05,0.8111724117984367,0.8088696363325639,250,3430.727253755289,3444.813097426738
2_outflow_max,4_flood_p95,10.100512225124785,0.3856238571475028,4_waste_count,-4.626282498349256,0.0503082573191192,3_fb_baseline_safe,0.3613909959595046,3.3749287169280636e-05,0.810856333079264,0.8084417330760205,239,3289.6720263142447,3303.5778805219707
2_outflow_max,4_flood_p95,9.479409292584222,0.4590770649174245,4_waste_count_final,-4.616462109587457,0.05039565923891588,3_fb_baseline_median,0.36190346202867385,3.525119263907376e-05,0.8096042048552131,0.8070078985577842,224,3097.8990519493213,3111.5456361567417
2_outflow_max,4_flood_p95,9.479370404213666,0.4590815555058624,4_waste_per_quadkey_area,-27436.76150019746,0.050397396114466024,3_fb_baseline_median,0.36190112611406533,3.525112168041662e-05,0.8096025509157814,0.8070062220646329,224,3097.900997794939,3111.5475820023594
2_outflow_max,4_flood_p95,6.714042962095867,0.588224394282219,4_waste_per_svi_count,-19.1080894103225,0.02883909558290912,3_fb_baseline_median,0.3485237817372774,1.0470352389010436e-05,0.8095378643352313,0.8069406533943482,224,3097.977087749152,3111.6236719565723
2_outflow_max,4_flood_p95,9.835819664011288,0.4476260089707643,4_waste_count_final,-4.609964272436359,0.0500264013711873,3_fb_baseline_safe,0.36285043422502045,3.56097871598017e-05,0.8094907720558765,0.8068200819445103,218,3020.2089768486485,3033.746957099805
2_outflow_max,4_flood_p95,9.835780495515445,0.4476305052594107,4_waste_per_quadkey_area,-27398.142392938476,0.050028129819090134,3_fb_baseline_safe,0.3628481003535021,3.5609772674631625e-05,0.8094891118137691,0.8068183984279809,218,3020.2108766579454,3033.748856909102
2_outflow_max,4_flood_p95,6.956928430625922,0.5785064432750666,4_waste_per_svi_count,-19.039767229371684,0.028722317672815224,3_fb_baseline_safe,0.34909052408416374,1.074416216533492e-05,0.8090687453679648,0.8063921389946185,218,3020.69136851764,3034.2293487687966
2_displaced_excess_max,4_flood_p95,-1.8949028611300474,0.8523664860828758,4_waste_per_svi_count,-19.450881135794983,0.014142950650718652,3_fb_baseline_median,0.3076795152140377,1.804354406385695e-05,0.8048509067301158,0.8021897827309811,224,3043.2167971144677,3056.863381321888
