y,flood,waste,nobs,r2,adjr2,aic,bic
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_population,224,0.000529514855689639,-0.008515466910322234,1658.1397779643003,1668.3747161198653
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_quadkey_area,218,0.0007081884189045207,-0.00858754936324524,1679.1781880969945,1689.3316732853618
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count_final,218,0.0007081223179743468,-0.008587616079067661,1679.1782025172092,1689.3316877055765
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_population,218,0.0006696551444467236,-0.0086264410867678,1679.186594141935,1689.3400793303024
1_outflow_max_hour0,4_flood_p95,4_waste_per_population,207,0.0011219647471969463,-0.008670957167046245,3202.358621685663,3212.356778065459
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_quadkey_area,224,1.102883516468367e-05,-0.009038645112028343,1658.2559502335948,1668.4908883891599
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count_final,224,1.101347385723539e-05,-0.009038660612352256,1658.2559536745655,1668.4908918301305
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_population,218,0.00024124987457785352,-0.00905883152193776,1615.7311423444078,1625.884627532775
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_quadkey_area,218,0.0001964399129540384,-0.009104058320413833,1615.7409130543133,1625.8943982426806
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,4_waste_count_final,218,0.0001963277189451773,-0.009104171558087959,1615.7409375174116,1625.8944227057789
