quadkey,hour,2_threshold_lower,2_n_pairs,2_low_confidence
30011010220303,8,-3.5,4,False
30011010220311,8,-3.5,4,False
30011010220312,8,-3.5,4,False
30011010220313,8,-3.5,4,False
30011010220320,8,-3.5,4,False
30011010220321,8,-3.5,4,False
30011010220322,8,-3.5,4,False
30011010220323,8,-3.5,4,False
30011010220330,8,-3.5,4,False
30011010220331,8,-3.5,4,False
30011010220332,8,-3.5,4,False
30011010220333,8,-3.5,4,False
30011010221032,8,-3.5,4,False
30011010221033,8,-3.5,4,False
30011010221122,8,-3.5,4,False
30011010221133,8,-3.5,4,False
30011010221200,8,-3.5,4,False
30011010221201,8,-3.5,4,False
30011010221202,8,-3.5,4,False
30011010221203,8,-3.5,4,False
30011010221210,8,-3.5,4,False
30011010221211,8,-3.5,4,False
30011010221212,8,-3.5,4,False
30011010221213,8,-3.5,4,False
30011010221220,8,-3.5,4,False
30011010221221,8,-3.5,4,False
30011010221222,8,-3.5,4,False
30011010221223,8,-3.5,4,False
30011010221230,8,-3.5,4,False
30011010221231,8,-3.5,4,False
30011010221232,8,-3.5,4,False
30011010221233,8,-3.5,4,False
30011010221300,8,-3.5,4,False
30011010221301,8,-3.5,4,False
30011010221302,8,-3.5,4,False
30011010221303,8,-3.5,4,False
30011010221311,8,-3.5,4,False
30011010221312,8,-3.5,4,False
30011010221313,8,-3.5,4,False
30011010221320,8,-3.5,4,False
30011010221321,8,-3.5,4,False
30011010221322,8,-3.5,4,False
30011010221323,8,-3.5,4,False
30011010221330,8,-3.5,4,False
30011010221331,8,-3.5,4,False
30011010221332,8,-3.5,4,False
30011010221333,8,-3.5,4,False
30011010222011,8,-3.5,4,False
30011010222013,8,-3.5,4,False
30011010222031,8,-3.5,4,False
30011010222100,8,-3.5,4,False
30011010222101,8,-3.5,4,False
30011010222102,8,-3.5,4,False
30011010222103,8,-3.5,4,False
30011010222110,8,-3.5,4,False
30011010222111,8,-3.5,4,False
30011010222112,8,-3.5,4,False
30011010222113,8,-3.5,4,False
30011010222120,8,-3.5,4,False
30011010222121,8,-3.5,4,False
30011010222122,8,-3.5,4,False
30011010222123,8,-3.5,4,False
30011010222130,8,-3.5,4,False
30011010222131,8,-3.5,4,False
30011010222132,8,-3.5,4,False
30011010222133,8,-3.5,4,False
30011010222213,8,-3.5,4,False
30011010222231,8,-3.5,4,False
30011010222300,8,-3.5,4,False
30011010222301,8,-3.5,4,False
