quadkey,ts_prefix,dt,hour,baseline,crisis,change_raw,2_threshold_lower,2_n_pairs,2_low_confidence,2_change_median,2_change_mad,2_change,2_is_anomaly,2_anomaly_direction
30011010223121,20240430_1600,2024-04-30 16:00:00,16,3636.25201508804,3084.4118159974964,-551.8401990905436,-3.5,3.0,False,-58.21369040711443,3.426206402324169,-97.1777648541884,True,outflow
30011010223122,20240430_1600,2024-04-30 16:00:00,16,2789.462363652311,2017.0219789583955,-772.4403846939156,-3.5,3.0,False,-49.77338101070745,3.8702523018473585,-125.94499168740455,True,outflow
30011010223123,20240430_1600,2024-04-30 16:00:00,16,2044.9567192634877,1607.5825060392897,-437.374213224198,-3.5,3.0,False,-14.864078009098648,31.851212614128144,-8.947322968676408,True,outflow
30011010223200,20240430_1600,2024-04-30 16:00:00,16,418.06487231408056,343.11797466313953,-74.94689765094103,-3.5,3.0,False,-0.8703152613872476,5.7831809344177145,-8.639649249843982,True,outflow
30011010223201,20240430_1600,2024-04-30 16:00:00,16,767.7460267413517,565.2968509416778,-202.44917579967387,-3.5,3.0,False,1.71692774571477,3.569891465313731,-38.575412776383196,True,outflow
30011010223202,20240430_1600,2024-04-30 16:00:00,16,327.859804221453,231.29972481318077,-96.5600794082722,-3.5,3.0,False,9.671071392434783,0.4551596072903408,-157.4237038335661,True,outflow
30011010223203,20240430_1600,2024-04-30 16:00:00,16,297.85148116597406,210.1472861378186,-87.70419502815545,-3.5,3.0,False,-8.997465346638705,3.718587587384434,-14.276304624445775,True,outflow
30011010223210,20240430_1600,2024-04-30 16:00:00,16,1380.3400448872712,1013.1187310457204,-367.2213138415508,-3.5,3.0,False,-2.453008622938114,22.28768879266886,-11.03910881737022,True,outflow
30011010223211,20240430_1600,2024-04-30 16:00:00,16,1441.3486520932015,958.3965885566708,-482.95206353653066,-3.5,3.0,False,-28.523243730160402,51.35599427763714,-5.968382917529587,True,outflow
30011010223212,20240430_1600,2024-04-30 16:00:00,16,357.25932025548434,241.08560655764205,-116.17371369784229,-3.5,3.0,False,-5.504379395762726,3.6551955879752995,-20.42201687710537,True,outflow
30011010223220,20240430_1600,2024-04-30 16:00:00,16,314.43049740003033,220.7841515652708,-93.64634583475953,-3.5,3.0,False,4.0717496138531715,3.0710839387382407,-21.461756400956215,True,outflow
