quadkey,hour,1_baseline_median,1_n_samples,1_low_confidence
30011010222031,0,133.1629449154254,3,False
30011010222100,0,667.4402814497821,3,False
30011010222101,0,755.8852086306738,3,False
30011010222102,0,411.8156497088404,3,False
30011010222103,0,608.7559018840775,3,False
30011010222110,0,558.5101990240435,3,False
30011010222111,0,624.7568085882912,3,False
30011010222112,0,1022.4487057957572,3,False
30011010222113,0,1276.2191608854723,3,False
30011010222120,0,280.3831375978698,3,False
30011010222121,0,449.5717791013979,3,False
30011010222122,0,162.289290870969,3,False
30011010222123,0,358.68676051173685,3,False
30011010222130,0,705.4244711475326,3,False
30011010222131,0,1456.315450110049,3,False
30011010222132,0,486.2176166645603,3,False
30011010222133,0,771.1670601781714,3,False
30011010222213,0,209.18275670629444,3,False
30011010222231,0,131.88554035705116,3,False
30011010222300,0,257.51437298339226,3,False
30011010222301,0,416.7223371697273,3,False
30011010222302,0,637.5984156320288,3,False
30011010222303,0,277.44837704179406,3,False
30011010222310,0,562.2788871628554,3,False
30011010222311,0,573.1497749954561,3,False
30011010222312,0,279.9399909721562,3,False
30011010222313,0,379.4633855361217,3,False
30011010222320,0,348.0631193102798,3,False
30011010222321,0,235.70515886224192,3,False
30011010222330,0,181.14752734551143,3,False
30011010222331,0,352.66540548977366,3,False
30011010222332,0,230.81682133643025,3,False
30011010222333,0,510.0493398437861,3,False
30011010223000,0,798.4147742712828,3,False
30011010223001,0,1130.3473365621894,3,False
30011010223002,0,1677.6022349938555,3,False
30011010223003,0,2246.2482121188914,3,False
30011010223010,0,1823.0531486842672,3,False
30011010223011,0,2222.1317501819567,3,False
30011010223012,0,5260.537295264957,3,False
30011010223013,0,7305.498994790468,3,False
30011010223020,0,2420.691457569928,3,False
30011010223021,0,3399.8605798631525,3,False
30011010223022,0,1598.943981201368,3,False
30011010223023,0,2891.447048895893,3,False
30011010223030,0,5991.744520974614,3,False
30011010223031,0,11767.78728324513,3,False
30011010223032,0,4132.737029009043,3,False
30011010223033,0,6162.849151061891,3,False
30011010223100,0,1830.5150500945815,3,False
30011010223101,0,1924.357015880649,3,False
30011010223102,0,6018.385883186366,3,False
30011010223103,0,4453.4523651212685,3,False
30011010223110,0,2806.289073580635,3,False
30011010223111,0,2286.3354516638447,3,False
30011010223112,0,3555.3225509290705,3,False
30011010223113,0,3134.3162858736378,3,False
30011010223120,0,9768.432209143695,3,False
30011010223121,0,6052.299339504971,3,False
30011010223122,0,5445.917648437779,3,False
30011010223123,0,3599.764317251802,3,False
30011010223130,0,4532.756679593251,3,False
30011010223131,0,4326.371340916252,3,False
30011010223132,0,3494.3443269729983,3,False
30011010223133,0,3748.8870775670575,3,False
30011010223200,0,673.4272853225954,3,False
30011010223201,0,1182.5550036281488,3,False
