y,flood_var,flood_coefficient,flood_p_value,waste_var,waste_coefficient,waste_p_value,r2,adjr2,nobs,aic,bic
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,110.68886577236982,0.7667539768238734,4_waste_count_final,114.4004833091579,7.31440239515913e-05,0.2645821784470592,0.2579268135461277,224,4604.501608446209,4614.736546601774
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,110.69538084147983,0.7667431786273974,4_waste_per_quadkey_area,679904.434452591,7.318039939636106e-05,0.2645660883592501,0.25791057784666416,224,4604.506509252439,4614.741447408004
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,192.53891008067995,0.5732269221880797,4_waste_per_svi_count,399.93722205225663,0.0003388988131437866,0.2298918546430786,0.22292255016021056,224,4537.53346840314,4547.7684065587055
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,196.83064119803095,0.589084616295773,4_waste_per_svi_count,473.09173004638006,0.0011481963836141428,0.22738255715579236,0.22039054409837877,224,4615.554938710128,4625.789876865693
2_outflow_max,4_flood_p95,-4.1120539142839645,0.7557027013580496,4_waste_count,5.293907401737749,7.629411465331157e-08,0.12368055289874935,0.11658484887363796,250,3812.4513345346486,3823.0157172882355
2_outflow_max,4_flood_p95,2.371190831792326,0.8921177671465033,4_waste_count_final,5.132459302617085,1.9173442288804232e-07,0.11566410190090781,0.10766106209910609,224,3439.9030037990897,3450.1379419546547
2_outflow_max,4_flood_p95,2.371314445630574,0.892112898071426,4_waste_per_quadkey_area,30503.58310517975,1.917509031951939e-07,0.1156598644089809,0.10765678625883601,224,3439.904077142284,3450.1390152978493
2_displaced_excess_max,4_flood_p95,-8.900460819948682,0.45487578632354875,4_waste_count,4.094876673312759,0.00012173504448319513,0.09716418959151174,0.0898537781712,250,3751.861301112629,3762.425683866216
2_displaced_excess_max,4_flood_p95,-5.460625823721948,0.7311535268449688,4_waste_count_final,3.9819767734342895,0.0002011225521074594,0.09050080445402153,0.08227004250337921,224,3385.981976735314,3396.2169148908793
2_displaced_excess_max,4_flood_p95,-5.460410104591065,0.7311657975349053,4_waste_per_quadkey_area,23665.690852920045,0.00020117080008861128,0.09049543714362951,0.08226462662004252,224,3385.9832986430038,3396.218236798569
2_outflow_max,4_flood_p95,8.36157308308278,0.6567578940868478,4_waste_per_svi_count,16.660485219182043,2.9811423543461936e-05,0.06156730878907413,0.053074705248703835,224,3453.202817481087,3463.437755636652
1_outflow_accumulated_hour0,4_flood_p95,5.803018367771113,0.7168545074106856,4_waste_count,3.372703124724168,0.011334580203544432,0.042039970720070374,0.03428320934938256,250,3881.3927666310237,3891.9571493846106
2_displaced_excess_max,4_flood_p95,-0.44045040913669453,0.9787866807729008,4_waste_per_svi_count,12.125895768912773,0.0015229961886623637,0.04216666508315414,0.033498490106531165,224,3397.580624490055,3407.81556264562
1_outflow_accumulated_hour0,4_flood_p95,13.95122789886133,0.5099048032344657,4_waste_count_final,3.1967226736695773,0.01683593098437325,0.03815780660307988,0.029453352364193774,224,3501.9760484619183,3512.2109866174833
1_outflow_accumulated_hour0,4_flood_p95,13.951630731203256,0.509894782072609,4_waste_per_quadkey_area,18998.25791638727,0.01684000648084309,0.038153658691312375,0.02944916691476318,224,3501.9770144522217,3512.2119526077868
1_outflow_max_hour0,4_flood_p95,8.778112639394829,0.6222668962366062,4_waste_count,2.703610769715492,0.015806644385595547,0.035606938617466666,0.026957673492959633,226,3469.529103540855,3479.790708538672
3_pct_outflow_worldpop_from_2_outflow_max,4_flood_p95,-1.0793744410525494,0.10593200141722971,4_waste_count,0.05314364544949834,0.0008306991054740373,0.031301236174517855,0.02339349116369749,248,1942.33087973292,1952.871165971415
1_outflow_max_hour0,4_flood_p95,10.318236426713566,0.602216707289331,4_waste_count_final,2.580562157390421,0.022089632129029306,0.0322101417297459,0.022722005864351247,207,3195.813755878021,3205.811912257817
1_outflow_max_hour0,4_flood_p95,10.318617181026054,0.6022054171655004,4_waste_per_quadkey_area,15336.35036273639,0.022094689488971912,0.032206477602944594,0.022718305814738216,207,3195.8145395944503,3205.8126959742463
3_pct_outflow_fb_from_2_outflow_max,4_flood_p95,-0.7741535816112715,0.28321324347606514,4_waste_count,0.04586470675149134,0.003573022281349374,0.021769385177402567,0.013479295221278886,239,1868.5515427089508,1878.9809333647454
3_pct_outflow_worldpop_from_2_outflow_max,4_flood_p95,-0.5951078074776034,0.4623518143798011,4_waste_per_population,1.3034292176715763,0.45825322580049854,0.02113966572844861,0.012281201164905164,224,1754.315768466066,1764.550706621631
3_pct_outflow_fb_from_2_outflow_max,4_flood_p95,-0.6410132004324365,0.4287921536226874,4_waste_per_population,1.1823351533763904,0.43416580595465004,0.018777696818549794,0.009650047486629343,218,1703.8162605869961,1713.9697457753634
3_pct_outflow_worldpop_from_2_outflow_max,4_flood_p95,-0.5212522025912905,0.5062208115098628,4_waste_count_final,0.04325614873537445,0.006479488747980762,0.0179003743421986,0.009012594924480921,224,1755.0558161420422,1765.2907542976072
3_pct_outflow_worldpop_from_2_outflow_max,4_flood_p95,-0.521252696589543,0.5062201898425402,4_waste_per_quadkey_area,257.08630841369416,0.006479437010529863,0.01790020007573856,0.009012419080948852,224,1755.0558558892153,1765.2907940447803
3_pct_outflow_fb_from_2_outflow_max,4_flood_p95,-0.5698225109727671,0.4705579192297408,4_waste_count_final,0.03792470228625132,0.01637550949101907,0.015027222020557729,0.005864684550981547,218,1704.6479222114278,1714.8014073997952
3_pct_outflow_fb_from_2_outflow_max,4_flood_p95,-0.5698230457425774,0.4705572888963251,4_waste_per_quadkey_area,225.39980600571627,0.01637534968386492,0.015027100186192022,0.005864561583272865,218,1704.6479491765285,1714.8014343648958
1_outflow_accumulated_hour0,4_flood_p95,18.535117039971723,0.3894730795501421,4_waste_per_svi_count,8.545749408048325,0.0474255885371831,0.014614097720718533,0.00569657824307801,224,3507.393028439564,3517.6279665951292
3_pct_outflow_worldpop_from_2_outflow_max,4_flood_p95,-0.47799500810834017,0.5419980095836044,4_waste_per_svi_count,0.15593681726707986,0.06695875016746614,0.0120789457112086,0.0031384836814457584,224,1756.3796639799648,1766.6146021355298
1_outflow_max_hour0,4_flood_p95,14.734434025640612,0.4675745911009501,4_waste_per_svi_count,6.306126537805778,0.08100886811888143,0.010343725432397033,0.0006412129366362151,207,3200.438696907957,3210.436853287753
3_pct_outflow_fb_from_2_outflow_max,4_flood_p95,-0.5271174964890893,0.505412684882011,4_waste_per_svi_count,0.12664603271998015,0.13129951275807863,0.00910745992275408,-0.00011014510122020482,218,1705.9541974791262,1716.1076826674935
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,585.036675660908,0.5521099083446945,4_waste_per_population,293.67412788315346,0.8686179708494475,0.005059531382104021,-0.003944454759234439,224,4790.3801008359815,4800.6150389915465
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,-0.024838337844155435,0.9628242717218393,4_waste_per_svi_count,-0.07538762800177701,0.16877164131964295,0.004076221972725169,-0.0051881852647377436,218,1614.893308736446,1625.0467939248133
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,0.314873664446704,0.6412758351054328,4_waste_per_svi_count,-0.07655032936013856,0.25458387002928007,0.0037762778617195236,-0.005490919553520213,218,1678.5078409969547,1688.661326185322
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,382.8014721544386,0.38544343984774776,4_waste_per_population,-27.479751734197063,0.9547986818889102,0.0032704894678968754,-0.005749687098004497,224,4595.313927088324,4605.548865243889
2_outflow_max,4_flood_p95,13.373342075556494,0.551615911421048,4_waste_per_population,18.874412746183513,0.8282805696899891,0.0029459884916512857,-0.006077124734668482,224,3466.7758306099868,3477.010768765552
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,422.1261524576431,0.36219607843672774,4_waste_per_population,-34.09362946627404,0.950204854140505,0.0028154429781316326,-0.006208851655550296,224,4672.708950512006,4682.943888667571
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,0.340751941181045,0.6114029024312061,4_waste_per_svi_count,-0.05838578604570523,0.3806805895751856,0.0026182132801845226,-0.0064078662376418905,224,1722.7344736043879,1732.969411759953
